start_region,end_region,mode_name,count
Central & Western,Central & Western,Bus,590
Central & Western,Central & Western,PLB,129
Central & Western,Central & Western,Private Vehicle,124
Central & Western,Central & Western,Rail,52
Central & Western,Central & Western,SPB,69
Central & Western,Central & Western,Taxi,116
Central & Western,Central & Western,Tram,351
Central & Western,Eastern,Bus,100
Central & Western,Eastern,PLB,10
Central & Western,Eastern,Private Vehicle,26
Central & Western,Eastern,Rail,152
Central & Western,Eastern,SPB,15
Central & Western,Eastern,Taxi,16
Central & Western,Eastern,Tram,15
Central & Western,Fanling / Sheung Shui,Rail,13
Central & Western,Fanling / Sheung Shui,Taxi,2
Central & Western,Kowloon City,Bus,42
Central & Western,Kowloon City,PLB,12
Central & Western,Kowloon City,Private Vehicle,9
Central & Western,Kowloon City,Rail,21
Central & Western,Kowloon City,SPB,3
Central & Western,Kwai Chung,Bus,1
Central & Western,Kwai Chung,PLB,4
Central & Western,Kwai Chung,Private Vehicle,6
Central & Western,Kwai Chung,Rail,29
Central & Western,Kwai Chung,Tram,1
Central & Western,Kwun Tong,Bus,49
Central & Western,Kwun Tong,PLB,17
Central & Western,Kwun Tong,Private Vehicle,6
Central & Western,Kwun Tong,Rail,44
Central & Western,Kwun Tong,Taxi,2
Central & Western,Ma On Shan,Rail,2
Central & Western,Mong Kok,Bus,61
Central & Western,Mong Kok,PLB,47
Central & Western,Mong Kok,Private Vehicle,1
Central & Western,Mong Kok,Rail,66
Central & Western,Mong Kok,Taxi,3
Central & Western,North Lantau,Bus,22
Central & Western,North Lantau,Private Vehicle,5
Central & Western,North Lantau,Rail,13
Central & Western,North Lantau,SPB,2
Central & Western,North Lantau,Taxi,3
Central & Western,Rural NENT,Rail,6
Central & Western,Rural NENT,SPB,1
Central & Western,Rural NWNT,Bus,4
Central & Western,Rural NWNT,LRT,1
Central & Western,Rural NWNT,Private Vehicle,2
Central & Western,Rural NWNT,Rail,4
Central & Western,Rural SENT,Rail,4
Central & Western,Rural SWNT,Ferry,4
Central & Western,Rural SWNT,Private Vehicle,1
Central & Western,Rural SWNT,Tram,2
Central & Western,Sha Tin,Bus,11
Central & Western,Sha Tin,Private Vehicle,4
Central & Western,Sha Tin,Rail,43
Central & Western,Sham Shui Po,Bus,55
Central & Western,Sham Shui Po,PLB,3
Central & Western,Sham Shui Po,Private Vehicle,1
Central & Western,Sham Shui Po,Rail,46
Central & Western,Sham Shui Po,SPB,1
Central & Western,Southern,Bus,73
Central & Western,Southern,PLB,68
Central & Western,Southern,Private Vehicle,21
Central & Western,Southern,SPB,37
Central & Western,Southern,Taxi,10
Central & Western,Tai Po,Bus,2
Central & Western,Tai Po,Private Vehicle,2
Central & Western,Tai Po,Rail,8
Central & Western,Tai Po,SPB,3
Central & Western,Tin Shui Wai,Private Vehicle,2
Central & Western,Tseung Kwan O,Bus,4
Central & Western,Tseung Kwan O,Private Vehicle,2
Central & Western,Tseung Kwan O,Rail,38
Central & Western,Tsing Yi,PLB,2
Central & Western,Tsing Yi,Rail,7
Central & Western,Tsuen Wan,Bus,9
Central & Western,Tsuen Wan,PLB,11
Central & Western,Tsuen Wan,Private Vehicle,4
Central & Western,Tsuen Wan,Rail,13
Central & Western,Tuen Mun,Bus,12
Central & Western,Tuen Mun,PLB,3
Central & Western,Tuen Mun,Private Vehicle,3
Central & Western,Tuen Mun,Rail,6
Central & Western,Tuen Mun,SPB,2
Central & Western,Wan Chai,Bus,440
Central & Western,Wan Chai,PLB,69
Central & Western,Wan Chai,Private Vehicle,82
Central & Western,Wan Chai,Rail,181
Central & Western,Wan Chai,SPB,37
Central & Western,Wan Chai,Taxi,52
Central & Western,Wan Chai,Tram,127
Central & Western,Wong Tai Sin,Rail,16
Central & Western,Wong Tai Sin,SPB,2
Central & Western,Yau Ma Tei,Bus,65
Central & Western,Yau Ma Tei,Ferry,17
Central & Western,Yau Ma Tei,PLB,4
Central & Western,Yau Ma Tei,Private Vehicle,10
Central & Western,Yau Ma Tei,Rail,149
Central & Western,Yau Ma Tei,SPB,1
Central & Western,Yau Ma Tei,Taxi,7
Central & Western,Yuen Long,Bus,2
Central & Western,Yuen Long,Rail,4
Eastern,Central & Western,Bus,491
Eastern,Central & Western,PLB,27
Eastern,Central & Western,Private Vehicle,48
Eastern,Central & Western,Rail,1149
Eastern,Central & Western,SPB,53
Eastern,Central & Western,Taxi,78
Eastern,Central & Western,Tram,34
Eastern,Eastern,Bus,1118
Eastern,Eastern,PLB,548
Eastern,Eastern,Private Vehicle,96
Eastern,Eastern,Rail,1101
Eastern,Eastern,SPB,318
Eastern,Eastern,Taxi,73
Eastern,Eastern,Tram,325
Eastern,Fanling / Sheung Shui,Bus,1
Eastern,Fanling / Sheung Shui,Private Vehicle,4
Eastern,Fanling / Sheung Shui,Rail,12
Eastern,Kowloon City,Bus,144
Eastern,Kowloon City,Ferry,14
Eastern,Kowloon City,PLB,13
Eastern,Kowloon City,Private Vehicle,27
Eastern,Kowloon City,Rail,103
Eastern,Kowloon City,SPB,1
Eastern,Kowloon City,Taxi,2
Eastern,Kwai Chung,Bus,5
Eastern,Kwai Chung,Private Vehicle,14
Eastern,Kwai Chung,Rail,110
Eastern,Kwai Chung,Taxi,1
Eastern,Kwun Tong,Bus,68
Eastern,Kwun Tong,Ferry,18
Eastern,Kwun Tong,PLB,43
Eastern,Kwun Tong,Private Vehicle,37
Eastern,Kwun Tong,Rail,533
Eastern,Kwun Tong,Taxi,15
Eastern,Ma On Shan,Bus,11
Eastern,Ma On Shan,Private Vehicle,3
Eastern,Ma On Shan,Rail,3
Eastern,Mong Kok,Bus,55
Eastern,Mong Kok,PLB,2
Eastern,Mong Kok,Private Vehicle,14
Eastern,Mong Kok,Rail,185
Eastern,Mong Kok,SPB,2
Eastern,Mong Kok,Taxi,1
Eastern,Mong Kok,Tram,1
Eastern,North Lantau,Bus,11
Eastern,North Lantau,Private Vehicle,6
Eastern,North Lantau,Rail,66
Eastern,North Lantau,SPB,23
Eastern,North Lantau,Taxi,4
Eastern,Rural NENT,Ferry,4
Eastern,Rural NENT,Rail,38
Eastern,Rural NWNT,Bus,3
Eastern,Rural NWNT,Private Vehicle,6
Eastern,Rural NWNT,Rail,13
Eastern,Rural NWNT,SPB,1
Eastern,Rural NWNT,Taxi,1
Eastern,Rural SENT,Private Vehicle,4
Eastern,Rural SENT,Rail,29
Eastern,Rural SWNT,Bus,2
Eastern,Rural SWNT,Ferry,10
Eastern,Rural SWNT,Rail,13
Eastern,Sha Tin,Bus,51
Eastern,Sha Tin,PLB,1
Eastern,Sha Tin,Private Vehicle,13
Eastern,Sha Tin,Rail,119
Eastern,Sha Tin,SPB,7
Eastern,Sha Tin,Taxi,1
Eastern,Sham Shui Po,Bus,27
Eastern,Sham Shui Po,Private Vehicle,15
Eastern,Sham Shui Po,Rail,218
Eastern,Sham Shui Po,SPB,1
Eastern,Sham Shui Po,Taxi,1
Eastern,Southern,Bus,139
Eastern,Southern,PLB,51
Eastern,Southern,Private Vehicle,30
Eastern,Southern,Rail,57
Eastern,Southern,SPB,57
Eastern,Southern,Taxi,6
Eastern,Southern,Tram,7
Eastern,Tai Po,Bus,9
Eastern,Tai Po,PLB,2
Eastern,Tai Po,Private Vehicle,7
Eastern,Tai Po,Rail,38
Eastern,Tai Po,SPB,11
Eastern,Tin Shui Wai,Bus,2
Eastern,Tseung Kwan O,Bus,5
Eastern,Tseung Kwan O,PLB,6
Eastern,Tseung Kwan O,Private Vehicle,5
Eastern,Tseung Kwan O,Rail,155
Eastern,Tseung Kwan O,SPB,3
Eastern,Tseung Kwan O,Taxi,3
Eastern,Tsing Yi,Bus,5
Eastern,Tsing Yi,Rail,21
Eastern,Tsing Yi,SPB,1
Eastern,Tsuen Wan,Bus,1
Eastern,Tsuen Wan,PLB,1
Eastern,Tsuen Wan,Private Vehicle,2
Eastern,Tsuen Wan,Rail,82
Eastern,Tsuen Wan,Taxi,1
Eastern,Tuen Mun,Bus,5
Eastern,Tuen Mun,PLB,2
Eastern,Tuen Mun,Private Vehicle,4
Eastern,Tuen Mun,Rail,17
Eastern,Wan Chai,Bus,892
Eastern,Wan Chai,PLB,61
Eastern,Wan Chai,Private Vehicle,124
Eastern,Wan Chai,Rail,916
Eastern,Wan Chai,SPB,225
Eastern,Wan Chai,Taxi,73
Eastern,Wan Chai,Tram,179
Eastern,Wong Tai Sin,Bus,11
Eastern,Wong Tai Sin,PLB,2
Eastern,Wong Tai Sin,Private Vehicle,7
Eastern,Wong Tai Sin,Rail,62
Eastern,Wong Tai Sin,SPB,2
Eastern,Yau Ma Tei,Bus,81
Eastern,Yau Ma Tei,Ferry,5
Eastern,Yau Ma Tei,PLB,3
Eastern,Yau Ma Tei,Private Vehicle,14
Eastern,Yau Ma Tei,Rail,420
Eastern,Yau Ma Tei,SPB,2
Eastern,Yau Ma Tei,Taxi,11
Eastern,Yau Ma Tei,Tram,2
Eastern,Yuen Long,Bus,6
Eastern,Yuen Long,Rail,10
Eastern,Yuen Long,SPB,8
Fanling / Sheung Shui,Central & Western,Bus,12
Fanling / Sheung Shui,Central & Western,Private Vehicle,6
Fanling / Sheung Shui,Central & Western,Rail,116
Fanling / Sheung Shui,Central & Western,SPB,3
Fanling / Sheung Shui,Eastern,Bus,10
