,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,link_id,link_name,link_coord
Mon,554,321,197,163,157,232,762,1674,2250,2230,2334,2322,2286,2169,2267,2166,2094,1967,1842,1846,1546,1409,1206,924,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Tue,572,332,204,168,163,239,787,1728,2322,2302,2410,2397,2360,2239,2340,2236,2162,2031,1902,1905,1596,1454,1245,953,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Wed,581,337,207,171,165,243,799,1755,2358,2338,2447,2434,2396,2274,2377,2270,2196,2062,1931,1935,1621,1477,1265,968,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Thu,584,338,208,171,166,244,803,1763,2369,2349,2458,2445,2407,2284,2387,2281,2206,2071,1940,1943,1628,1483,1271,973,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Fri,599,347,213,176,170,250,823,1808,2430,2409,2521,2508,2469,2343,2449,2339,2262,2125,1990,1993,1670,1522,1303,998,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Sat,691,443,306,255,213,218,597,1187,1772,2011,1974,2022,1891,1841,1711,1629,1584,1618,1702,1599,1227,1228,1105,889,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Sun,576,343,260,215,195,189,424,652,1130,1264,1403,1402,1433,1338,1303,1232,1199,1167,1179,1074,812,781,720,524,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
M-F,549,318,195,161,156,230,755,1658,2228,2209,2312,2300,2264,2148,2245,2145,2074,1948,1824,1828,1531,1395,1195,915,1001,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Mon,554,321,197,163,157,232,762,1674,2250,2230,2334,2322,2286,2169,2267,2166,2094,1967,1842,1846,1546,1409,1206,924,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Tue,572,332,204,168,163,239,787,1728,2322,2302,2410,2397,2360,2239,2340,2236,2162,2031,1902,1905,1596,1454,1245,953,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Wed,581,337,207,171,165,243,799,1755,2358,2338,2447,2434,2396,2274,2377,2270,2196,2062,1931,1935,1621,1477,1265,968,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Thu,584,338,208,171,166,244,803,1763,2369,2349,2458,2445,2407,2284,2387,2281,2206,2071,1940,1943,1628,1483,1271,973,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Fri,599,347,213,176,170,250,823,1808,2430,2409,2521,2508,2469,2343,2449,2339,2262,2125,1990,1993,1670,1522,1303,998,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Sat,691,443,306,255,213,218,597,1187,1772,2011,1974,2022,1891,1841,1711,1629,1584,1618,1702,1599,1227,1228,1105,889,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Sun,576,343,260,215,195,189,424,652,1130,1264,1403,1402,1433,1338,1303,1232,1199,1167,1179,1074,812,781,720,524,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
M-F,549,318,195,161,156,230,755,1658,2228,2209,2312,2300,2264,2148,2245,2145,2074,1948,1824,1828,1531,1395,1195,915,1002,Harcourt Rd,"{'latitude': '22.2804156', 'longitude': '114.164553'}"
Mon,1122,801,562,415,381,500,1256,2744,3414,3456,3164,2989,3266,2919,3207,2941,3083,2962,3006,2920,2391,2311,2202,1774,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Tue,1132,808,567,419,384,505,1267,2768,3444,3486,3191,3016,3295,2945,3235,2967,3110,2988,3032,2946,2412,2331,2221,1790,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Wed,1145,817,574,424,389,511,1282,2801,3484,3527,3229,3051,3334,2980,3274,3002,3147,3023,3068,2981,2441,2358,2248,1811,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Thu,1151,822,577,426,391,513,1288,2815,3502,3545,3246,3067,3351,2995,3290,3017,3163,3039,3084,2996,2453,2371,2259,1820,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Fri,1163,830,583,430,395,519,1302,2845,3539,3583,3280,3099,3386,3027,3325,3049,3196,3071,3116,3028,2479,2395,2283,1840,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Sat,1546,1044,801,670,501,556,952,1795,2363,2463,2800,2898,2734,2836,3021,2835,2906,2900,2793,2540,2199,2035,2049,1840,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Sun,1235,1065,798,668,533,499,665,783,1187,1742,1849,2213,2240,2220,2050,2033,2068,2314,2526,2050,1708,2114,1643,1139,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
M-F,1103,788,553,408,374,492,1235,2699,3357,3398,3111,2940,3212,2871,3154,2892,3032,2913,2956,2872,2352,2272,2165,1745,1003,Victoria Park Rd,"{'latitude': '22.2845887', 'longitude': '114.1892194'}"
Mon,894,618,437,330,319,457,1188,3159,3688,3396,3175,3061,2891,2847,2955,2951,2953,3017,3208,2720,2094,1964,1821,1416,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Tue,915,633,447,338,326,467,1216,3233,3774,3475,3249,3132,2958,2913,3024,3020,3022,3087,3283,2783,2143,2010,1863,1449,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Wed,919,636,449,339,328,470,1222,3249,3793,3492,3265,3148,2973,2928,3039,3035,3037,3102,3299,2797,2153,2020,1872,1456,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Thu,944,653,461,349,337,483,1255,3337,3897,3588,3354,3234,3054,3008,3122,3118,3120,3187,3390,2873,2212,2075,1923,1496,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Fri,976,675,477,360,348,498,1297,3447,4025,3706,3464,3340,3154,3107,3225,3220,3222,3292,3501,2968,2285,2143,1986,1545,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Sat,1398,1107,851,648,518,602,999,1689,2768,3152,3503,3642,3477,3441,3394,3412,3360,3440,3243,2509,2143,2285,2304,1848,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Sun,1063,832,659,488,399,452,600,871,1311,1699,2051,2199,2304,2227,2295,2281,2147,2218,2291,1808,1672,1854,1567,1047,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
M-F,909,629,444,336,324,465,1209,3212,3751,3454,3229,3113,2940,2895,3005,3001,3003,3068,3263,2766,2129,1997,1851,1440,1004,Island Eastern Corridor,"{'latitude': '22.2665072', 'longitude': '114.23772116904809'}"
Mon,508,331,267,222,242,366,917,1992,2010,2012,2019,1910,1815,1808,1881,1905,1771,1674,1683,1573,1237,1129,1040,772,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Tue,514,335,270,224,245,370,927,2013,2031,2033,2040,1930,1834,1827,1901,1925,1790,1692,1701,1590,1250,1141,1051,780,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Wed,517,337,272,225,246,372,933,2026,2045,2046,2053,1943,1846,1839,1913,1938,1802,1703,1713,1600,1258,1148,1058,785,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Thu,525,343,276,229,250,378,948,2059,2078,2080,2087,1975,1877,1870,1945,1970,1831,1731,1741,1627,1279,1167,1076,798,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Fri,541,353,285,236,258,390,977,2121,2140,2142,2150,2034,1933,1926,2003,2029,1886,1783,1793,1675,1317,1202,1108,822,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Sat,721,524,453,341,288,371,709,1135,1612,1838,1948,1880,1746,1727,1739,1741,1729,1679,1657,1407,1185,1245,1222,949,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
Sun,594,430,362,272,238,290,460,623,819,1074,1264,1338,1330,1314,1301,1337,1285,1286,1265,1042,970,981,809,551,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
M-F,510,332,268,222,243,367,920,1997,2015,2017,2024,1915,1820,1813,1886,1910,1776,1678,1688,1577,1240,1132,1043,774,1005,Aberdeen Tunnel,"{'latitude': '22.2526578', 'longitude': '114.1787111'}"
