Time,station_id,Taxi,Bus,Cargo,Private_Veh
0700-0800 ,2212,44.1,4.7,8.5,29.7
0800-0900 ,2212,39.3,3,9.4,40
0900-1000 ,2212,34,2.6,12.3,44.5
1000-1100 ,2212,19.7,1.5,15.9,58.5
1100-1200 ,2212,29.1,1.3,8.799999999999999,51.6
1200-1300 ,2212,26.1,2.3,9.1,55.1
1300-1400 ,2212,29.7,3.2,9.899999999999999,50.4
1400-1500 ,2212,28.8,1.7,11.700000000000001,53
1500-1600 ,2212,27.8,2.1,7.2,58.4
1600-1700 ,2212,29.5,2.4,6.8,55
1700-1800 ,2212,32.6,2.3,2.6,56.9
1800-1900 ,2212,32.6,2.5,2.3,57
1900-2000 ,2212,44,2.3,1,48.9
2000-2100 ,2212,42.5,1.5,0.4,49.9
2100-2200 ,2212,43.5,0.5,0.7,48.9
2200-2300 ,2212,39.1,0.5,0,56.2
0700-0800 ,5025,9.1,2.4,32.6,50
0800-0900 ,5025,8.7,1.3,35.9,50
0900-1000 ,5025,11.2,1.1,49.599999999999994,33.9
1000-1100 ,5025,11.3,0.8,51.4,32.8
1100-1200 ,5025,10.5,0.8,54.0,30.7
1200-1300 ,5025,11.8,1.1,49.0,33.6
1300-1400 ,5025,10,1.3,49.7,35
1400-1500 ,5025,8.5,1.5,51.2,35.1
1500-1600 ,5025,8.1,1.2,53.2,34.3
1600-1700 ,5025,7.4,1.7,48.6,37.8
1700-1800 ,5025,7.6,1.6,39.5,45.5
1800-1900 ,5025,7.2,1.6,24.3,61.8
1900-2000 ,5025,7.9,2.2,22.6,63
2000-2100 ,5025,11.4,1.8,20.9,60.9
2100-2200 ,5025,12.4,1.2,23.5,58.4
2200-2300 ,5025,13,0.6,15.9,66.6
0700-0800 ,4208,19.2,2.7,21.8,37.7
0800-0900 ,4208,17.5,2.2,19.5,47.6
0900-1000 ,4208,21,1.4,24.5,41.2
1000-1100 ,4208,24.9,0.6,31.6,33
1100-1200 ,4208,26.6,0.9,29.5,32.5
1200-1300 ,4208,28.4,1.6,26.0,34.8
1300-1400 ,4208,25.2,1.4,28.1,34.8
1400-1500 ,4208,23.9,1.5,27.4,36.6
1500-1600 ,4208,23,1.1,24.3,41.5
1600-1700 ,4208,21,1.3,24.9,40.5
1700-1800 ,4208,19.5,1.6,16.9,45.5
1800-1900 ,4208,18.1,0.6,15.0,49.9
1900-2000 ,4208,25.2,1.1,9.899999999999999,51.1
2000-2100 ,4208,31.7,0.4,10.6,43.5
2100-2200 ,4208,34.8,0.5,9.2,44
2200-2300 ,4208,32.7,0.4,8.200000000000001,47.5
0700-0800 ,4215,32.7,0,16.7,31.9
0800-0900 ,4215,24.3,0.8,16.4,47.9
0900-1000 ,4215,33,0,21.9,33.5
1000-1100 ,4215,35.1,0.4,24.2,32.8
1100-1200 ,4215,23.4,0,28.5,38.7
1200-1300 ,4215,23.4,0.7,24.9,31.5
1300-1400 ,4215,22.9,0,21.5,42.6
1400-1500 ,4215,29.5,0,21.2,42.4
1500-1600 ,4215,24.3,0.4,22.099999999999998,46
1600-1700 ,4215,18.7,0,23.1,45.1
1700-1800 ,4215,25,0,16.5,43.5
1800-1900 ,4215,23.3,1.1,11.1,51.5
1900-2000 ,4215,30.1,0,7.9,47.5
2000-2100 ,4215,31.8,0,4.5,50.6
2100-2200 ,4215,31,0,5.199999999999999,52.9
2200-2300 ,4215,26.2,0.6,7.8999999999999995,49.1
0700-0800 ,5017,7.6,1.7,9.700000000000001,66.3
