Time,station_id,Taxi,Bus,Cargo,Private_Veh,num_Taxi,num_Bus,num_Cargo,num_Private_Veh,frac_Taxi,frac_Bus,frac_Cargo,frac_Private_Veh,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,latitude,longitude
0700-0800 ,1001,34.8,4.4,8.5,29.7,576.9839999999999,72.95200000000001,140.93,492.426,0.0374794847720593,0.1711134618857852,0.06138977957963269,0.03081719776693503,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
0800-0900 ,1001,43.1,3.2,9.4,40.0,960.268,71.296,209.432,891.2,0.06237668615264174,0.1672292106948259,0.09122957721508289,0.05577342920538823,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
0900-1000 ,1001,45.5,0.9,12.3,44.5,1005.095,19.881000000000004,271.70700000000005,983.005,0.06528853962496871,0.046632124352331605,0.11835686397674917,0.06151880585283062,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1000-1100 ,1001,45.3,0.8,15.9,58.5,1047.336,18.496,367.608,1352.52,0.06803241279347348,0.04338352054829863,0.16013179657780183,0.08464393903598706,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1100-1200 ,1001,46.7,0.5,8.799999999999999,51.6,1074.1000000000001,11.5,202.39999999999998,1186.8,0.06977093748469437,0.026973966603883775,0.0881664045051987,0.07427278476318978,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1200-1300 ,1001,50.1,1.2,9.1,55.1,1134.264,27.168,206.024,1247.4640000000002,0.07367904537300006,0.06372423692994038,0.08974503617479773,0.07806928309051887,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1300-1400 ,1001,47.5,1.1,9.9,50.4,1020.3,23.628000000000004,212.65200000000002,1082.592,0.06627621964028829,0.05542094634057095,0.09263222455948379,0.06775119868752205,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1400-1500 ,1001,49.9,1.3,11.7,53.0,1120.255,29.185000000000002,262.66499999999996,1189.8500000000001,0.07276905462425873,0.06845523611603027,0.11441812568852776,0.07446366106376928,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1500-1600 ,1001,52.7,0.9,7.2,58.4,1130.415,19.305000000000003,154.44000000000003,1252.6799999999998,0.07342902364468931,0.045281080459824034,0.06727479995940164,0.07839571285570658,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1600-1700 ,1001,53.7,1.3,6.8,55.0,1113.738,26.962000000000003,141.032,1140.7,0.07234572607050418,0.06324105109338386,0.061434211265697564,0.07138773641672615,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1700-1800 ,1001,55.9,1.0,2.6,56.9,1088.9319999999998,19.48,50.648,1108.4119999999998,0.07073438832239382,0.04569155386466574,0.022062510155036092,0.0693670760911162,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
